交易对方分析结果：
格式：商家名称 (出现次数)
星巴克(皇冠大厦店) (1)
湾湾川 (1)
本味生鲜 (1)
小米之家宁波镇海吾悦广场专卖店 (1)
悠无限西溪路401号 (1)
北京乾元宝融管理咨询有限公司 (1)
迎晨餐厅 (1)
洪荣康小吃店 (1)
jiuliujiuliu (1)
家家乐(李惠利东部店) (1)
温州市财政局 (1)
菠萝君旗舰店 (1)
省委  店 (1)
枝荣旗舰店 (1)
迪卡侬旗舰店 (1)
武汉地铁运营有限公司 (1)
松勒耐永专卖店 (1)
*文法 (1)
天冰全球冰淇淋智选店 (1)
朱小乐龙虾馆 (1)
南京南大国际会议中心有限公司 (1)
大牌档 (1)
杭州同康大药房西溪路分店 (1)
有骨气世纪东方店 (1)
桃园梦境 (1)
庆丰农贸市场肉类梁飞 (1)
shopzx数码商城 (1)
匹克官方旗舰店 (1)
俊芙旗舰店 (1)
浙江高速投资发展有限公司 (1)
浙大新宇集团 (1)
米家优选2019 (1)
出租车司机 (1)
淘宝现金红包 (1)
艾思度柒峰专卖店 (1)
南京大学 (1)
奈久食火车东站店 (1)
新鲜部落 (1)
宁波市北仑区财政局 (1)
十足宁波环合中心店 (1)
佳丽甜品 (1)
宁波市镇海信诺康大药房有限公司 (1)
美宜佳浙00202宁波文化港 (1)
color cafe (1)
王天星 (1)
田园花匠 (1)
植物园游乐场 (1)
white seeds (1)
宁波市鄞州区首南街道荣安府业主委员会 (1)
鄞州公园游船 (1)
重庆心新安物业服务有限公司 (1)
ciykamio旗舰店 (1)
宁波出口加工区康福特便利店 (1)
宁波小遛共享信息科技有限公司 (1)
小米极米专卖店 (1)
薰衣草潮流服饰 (1)
小鱼蛋yu (1)
花蜜家旗舰店 (1)
花生棒旗舰店 (1)
厨创东北大厨(黄龙国际中心店) (1)
鲜丰水果(杭州枫华府第店) (1)
美团充电 (1)
望湖小龙虾（西湖音乐喷泉店） (1)
肯德基(湖滨in77店) (1)
西树泡芙(杭州湖滨银泰in77C区) (1)
顺丰到付码 (1)
*海波 (1)
韩炉匠烤肉(镇海万科店) (1)
实厂直销2222 (1)
小蜜蜂居家日用旗舰店 (1)
simontan520 (1)
一鸣真鲜奶吧(宁波动车站二店奶吧) (1)
霸王牛肉（坝头路店） (1)
浪漫一生 (1)
薯假 (1)
迪妙乐旗舰店 (1)
老街7号 (1)
仕达优乐惠专卖店 (1)
股软平价店 (1)
相宜本草官方旗舰店 (1)
newbalance旗舰店 (1)
m***m (1)
sunjianwen1227 (1)
3m官方旗舰店 (1)
海氏海诺旗舰店 (1)
凤全长万专卖店 (1)
益品家旗舰店 (1)
宿州市玉铭家居有限公司 (1)
数家珍家居用品旗舰店 (1)
豆豆个人专业护理 (1)
宁波家家乐(李惠利东部店) (1)
吾粤 港式茶餐厅 (1)
任齐良（8888） (1)
ETCP停车 (1)
小熊烘焙屋 (1)
南洋大师傅 (1)
摩兜欢乐岛 (1)
杜子小吃 (1)
三门县浬浦镇木杓村63号个体户陈道明 (1)
寻茶说（镇海店） (1)
老婆大人量贩零食铺晨薇连锁店 (1)
門司咖喱 (1)
LULU的泡芙宁波来福士店 (1)
circleclean旗舰店 (1)
西雅衣家（宁波大庆南路店） (1)
苍南县灵溪镇木子服装店 (1)
samzhe山泽旗舰店 (1)
星巴克(皇冠大厦店早餐供应) (1)
初率旗舰店 (1)
zhongju2218 (1)
格之格旗舰店 (1)
栾克森 (1)
美怡万家 (1)
丁惟翼 (1)
vans官方旗舰店 (1)
JACK&JONES（银泰城店） (1)
绿茶餐厅(宁波北仑银泰店) (1)
理发店 (1)
薛学春 (1)
十足宁波火车南站三店 (1)
必胜客(宁波北仑银泰店) (1)
wub旗舰店 (1)
德宽盛记北京烤鸭（零售部） (1)
浙海华地 (1)
菠萝**店 (1)
物美超市（镇海万科店） (1)
宁波市镇海龙成药店有限公司合生连锁店 (1)
学生活动中心店 (1)
中国图片社有限责任公司 (1)
宁波万象城停车场 (1)
宁波市镇海琪琪服装店 (1)
浙江医院停车场 (1)
外婆家(杭州西溪银泰城店) (1)
fo**店 (1)
ba**店 (1)
周** (1)
上海艾迪卫实业有限公司 (1)
杭州市西湖区紫金港修理店 (1)
gi**店 (1)
南通**司 (1)
ne**店 (1)
深圳市海王易点药医药有限公司 (1)
先** (1)
小米**业 (1)
阿香米线(宁波镇海万科餐厅) (1)
宁波市镇海区中医医院 (1)
宁波大酒店 (1)
6371-茶百道宁波海曙东鼓道店 (1)
炫匠**店 (1)
中国移动通信集团浙江有限公司镇海分公司 (1)
吉祥馄饨 (1)
闪魔**店 (1)
豪成国际停车场 (1)
南洋大师傅（万科店） (1)
宁波市鄞州人民医院 (1)
稻香村6侯 (1)
绝味鸭脖(高铁南站三店) (1)
星** (1)
POS FRANKFURT AIRPORT T1 (1)
风暴教育服务专营店 (1)
北京信天游国旅专营 (1)
Microsoft Payments Pte. Ltd. (1)
三门县服务区西区 (1)
商量岗度假村 (1)
商量岗滑雪场 (1)
宁波来福士-2016 (1)
淘票**） (1)
水理**店 (1)
四川嘉宝生活服务集团股份有限公司宁波分公司 (1)
快尚时装（广州）有限公司 (1)
t_**7 (1)
午憩**店 (1)
杭州市庆丰农贸市场向辉小吃店 (1)
624changle上海长乐路店 (1)
万香聚酒楼 (1)
智慧停车场 (1)
象山酥院（天一店） (1)
瓦香鸡米饭宁波祥和路店 (1)
极玩造物 (1)
名创优品浙江宁波1902万科广场店 (1)
库迪科技（福建）有限公司 (1)
秘制黑鸭 (1)
余姚市国景旅游开发有限公司 (1)
川页**页 (1)
乐清市业邦贸易有限公司宁波分公司 (1)
mr**店 (1)
乐迪智能科技（江苏）有限公司5 (1)
南霆茶序 (1)
涞觅**店 (1)
国鑫机电 (1)
银泰百货(江东店) (1)
ur**店 (1)
jv**店 (1)
云飞图文 (1)
杨铭宇加盟店 (1)
*花 (1)
**芬 (1)
温州风味小吃宁大步行街店 (1)
小** (1)
台州小吃 (1)
zb**9 (1)
黄爷**6 (1)
宁波优泊停车服务有限公司 (1)
夜猫子夜市 (1)
阿良烤鱼 (1)
叶仙花 (1)
宁波蓝色海湾旅游景区管理有限公司 (1)
美置服务 (1)
杭州浙大文化创意发展有限公司4 (1)
浙大科技园宁波分园 (1)
浙江大学食堂 (1)
杭州西湖停车收费服务有限责任公司 (1)
余杭塘路四店 (1)
肯德基(浙大紫金港店) (1)
久久丫鸭脖 (1)
笔锋图文 (1)
原装**店 (1)
**坤 (1)
美本**店 (1)
大** (1)
マツモトキヨシ 池袋東口店 (1)
ビックカメラ池袋本店 (1)
JINS (1)
fb数码旗舰店 (1)
居酒屋 いきぶし (1)
マツモトキヨシ 渋谷Ｐａｒｔ１店 (1)
ウインクプレミアム秋葉原店 (1)
OSAKA CASTLE (1)
胡伟(*伟) (1)
邴师傅自行车维修部 (1)
画英**影 (1)
龙胜**材 (1)
剑** (1)
欧文官仓店 (1)
温** (1)
湖北**司 (1)
欧特**店 (1)
Airbnb Payments UK Limited (1)
jo**店 (1)
广东烧烤新大路三店 (1)
宁波市北仑区里仁越府业主委员会 (1)
狂膘·深夜街头烤肉 (1)
天堂**店 (1)
丽博**店 (1)
安娜**0 (1)
Valve (1)
坤心**司 (1)
上海**店 (1)
正达图文广告 (1)
杭州浙大文创（东二店） (1)
消闲果儿 (1)
ve**店 (1)
浙大文创 (1)
永辉(杭州西溪银泰店) (1)
杭州玉皇山南停车管理有限公司 (1)
杭州市西湖区鮨七条餐饮店 (1)
古茗 (1)
疆里疆外抓饭 (1)
Partyking (1)
先里 (1)
一鸣真鲜奶吧(宁波镇海官仓路奶吧) (1)
舟山市朱家尖朋利食品店 (1)
索道香店 (1)
舟山市朱家尖钱刚百货店 (1)
韵达货运 (1)
c***泽 (1)
吴小糖沙拉煎饼望月店 (1)
上海芃歆文化传播有限公司 (1)
云创青年小镇停车场 (1)
余姚市志州餐饮店 (1)
up**8 (1)
bo**店 (1)
杭州市西湖区优悠桌球俱乐部 (1)
杭州晓风图书有限公司 (1)
淘票**光 (1)
网易**店 (1)
e** (1)
头发乱了 (1)
三门县挺省粥店 (1)
牛鼎旺.路边牛杂镇海庄市店 (1)
抖音生活服务商家 (1)
tb**2 (1)
强仔炸串 (1)
tb**1 (1)
振华五金机电 (1)
豪士**店 (1)
陕西宜路行 (1)
甄选 (1)
杭州宋江物业管理有限公司 (1)
路易吉餐饮管理（宁波）有限公司 (1)
宁波中影国际影城开元广场店 (1)
宁波市酷立方文化娱乐有限公司 (1)
統一超商(淅江）便利店有限公司 (1)
千晓家 (1)
2510-茶百道杭州西溪银泰城店 (1)
优衣库杭州西溪银泰城 (1)
汪孃孃川味私房小吃【西溪银泰城店】 (1)
牛二叔麻辣烫 (1)
王海霞 (1)
厦门**司 (1)
浙江亚太酒店物业服务有限公司 (1)
象山超市（东） (1)
*禄英 (1)
蒋美玉 (1)
慈溪市杭州湾环球酒店有限公司 (1)
中国科学院宁波材料技术与工程研究所慈溪生物医学工程研究所 (1)
万达电影股份有限公司 (1)
钱湖天地 (1)
客串出品宁波店 (1)
淘票**票 (1)
迪卡侬(北仑店) (1)
上海华铁旅客服务有限公司 (1)
绵** (1)
o泡 (1)
力博图文（庄市大道） (1)
****** (1)
OpenAI 购买平台 (1)
脱脂肥肠 (1)
杭州盛和商业旅游服务有限公司 (1)
醉西湖店 (1)
杭州市回忆童年食品店 (1)
杭州地铁运营有限公司 (1)
宁波市北仑区春晓永玲餐厅 (1)
商户_杨可顺 (1)
*哲敏 (1)
罗森(汉德城) (1)
酒本料理·居酒屋 (1)
杜卡**店 (1)
北京石头世纪科技股份有限公司 (1)
喜姐炸串 (1)
宁波咪停网络科技有限公司 (1)
浙江亚太酒店物业服务有限公司鄞州分公司 (1)
ro**店 (1)
一胜**司 (1)
m7**d (1)
sh**店 (1)
台州市椒江区城发文旅发展有限公司 (1)
三门县极地奶茶店 (1)
任齐良 (1)
木鱼山购物点 (1)
小明的店 (1)
台州十足 (1)
宁波灵桥广场停车场 (1)
*根福 (1)
Yuansfer， Inc (1)
co**店 (1)
鹿游**店 (1)
欧菲**店 (1)
家香**店 (1)
延青年（延大店） (1)
新巴尔虎右旗阿拉坦额莫勒镇美丽约会连锁店 (1)
**中 (1)
**兰 (1)
世代炸鸡(长白山店) (1)
薇 (1)
**华 (1)
长白山旅游度假区管理分公司 (1)
长白山国际旅游度假区开发有限公司管理分公司 (1)
肯德基(龙嘉T2店KFC) (1)
沃尔玛（浙江）百货有限公司 (1)
宽城区龙小龙原味烧烤店 (1)
阿里**房 (1)
ap**店 (1)
长白**店 (1)
tb**7 (1)
宁波市外星人台球有限公司 (1)
09**物 (1)
je**店 (1)
楼下**叶 (1)
百亿**选 (1)
去哪儿网 (1)
顾辞商行biubiu的店 (1)
讲***人 (1)
肌动**店 (1)
gr**店 (1)
延边延米餐饮管理有限公司 (1)
万达**店 (1)
小吃 (1)
宁波市镇海区庄市陈兴便利店 (1)
松本**店 (1)
澳食尚小吃餐饮店 (1)
浙江嗨便利网络科技有限公司 (1)
se**本 (1)
捷诚汽修 (1)
沈家牛肉汤馆 (1)
宁波市佳博电影院有限公司 (1)
杭州闲鱼信息技术有限公司 (1)
va**店 (1)
宁波市镇海区蛟川军俊好优多副食商行 (1)
上海国际旅游度假区运营管理有限公司 (1)
露露精品店 (1)
上海芯愔企业管理有限公司 (1)
LINLEE手打柠檬茶 (1)
上海携程国际旅行社有限公司 (1)
粮策（世纪东方店） (1)
影视飓风MediaStore的店 (1)
温***j (1)
上海春煦 (1)
鲁好智 (1)
兰州中川国际机场有限公司 (1)
马平 甘F-DF5567 (1)
敦煌市雅丹景区服务中心 (1)
敦煌市禧食餐饮店 (1)
有爱超市 (1)
敦煌市远驼商务服务部 (1)
敦煌市阳关景区管理有限公司 (1)
肖海平甘FBT659 (1)
张喜雄甘F2G688 (1)
敦煌文旅交通有限公司 (1)
北京神州汽车租赁有限公司 (1)
神州租车 (1)
大胖子烤肉（敦煌店） (1)
金建玲甘F53L78 (1)
f***2 (1)
敦煌市舒扬特产水果店 (1)
甘FY8869 (1)
杏福工场 (1)
肯德基(西安机场T3出发) (1)
宁波宏泰房地产开发有限公司 (1)
大湖岭服务区下行便利店 (1)
江西畅行公司 (1)
长沙市岳麓区晏鑫便利店 (1)
宁波市镇海区蛟川园园牛肉面馆 (1)
浙江天柜科技有限公司 (1)
杭州吉小美珠宝宁波分公司—宁波k11 (1)
宁波鄞州新世界K11珠宝店 (1)
t***3 (1)
一***0 (1)
李惠利东部医院 (1)
司乎·日式鲜吐司 (1)
肯德基(宁波新水街餐厅) (1)
迪卡侬(宁波)体育用品有限公司 (1)
馄饨 (1)
sa**g (1)
深圳一达通（饿了么先享后付） (1)
默默 (1)
诚和**店 (1)
宁波市欧悦企业管理有限公司庄市分公司 (1)
醉清**店 (1)
有你**果 (1)
兰州拉面宁波祥和路店 (1)
sqb (1)
行乐迪KTV镇海店 (1)
武汉心楠养老服务中心 (1)
阿毛饭店鄞州万达店 (1)
林先生手作烘焙 (1)
宁波明州大四喜体育有限公司 (1)
宁波市北仑区新碶湘舍餐饮店 (1)
肯德基(绍兴迎恩门店) (1)
兰亭记·绍兴菜（仓桥直街店） (1)
绍兴传媒文化创意产业园有限公司 (1)
寻味绍兴·社戏酒家 (1)
兰州牛肉拉面宁波中官西路店 (1)
宁波市医疗中心李惠利医院（东部院区） (1)
首都机场十一店（北京） (1)
北京吴裕泰茶业股份有限公司 (1)
超市发海中市场店陆号店 (1)
超市发海中市场店捌号店 (1)
北京南门涮肉有限公司 (1)
文宇奶酪店（南锣二店） (1)
清真牛羊肉 (1)
天坛甜品祈年门店 (1)
**国 (1)
统一超商（浙江）便利店有限公司宁波分公司 (1)
东莞市硕飞商务贸易有限公司 (1)
老杨烧饼 (1)
宁波宝龙广场 (1)
破店 (1)
陈文鼎黑糖珍珠奶茶 (1)
酉串（天一店） (1)
苹果贸易（上海）有限公司 (1)
南京鹏楚建设工程有限公司 (1)
su**店 (1)
溪倍**店 (1)
肯德基(骆驼吾悦餐厅) (1)
宁波市镇海区庄市巴蜀人家餐馆 (1)
深圳市一达通商业保理有限公司 (1)
宁波鄞州甬珂商业运营管理有限公司 (1)
粤火婆菠萝包宁波云创店 (1)
宇の家.烧肉酒场 (1)
丽梅 (1)
肯德基(宁波远大宝龙店) (1)
城北乐园书店 (1)
绍兴城市广场停车场 (1)
绍兴市Gcoffee仓桥直街路店 (1)
谢大牛馆 (1)
庄市石化加油站分店2 (1)
三门县良超烤鱼店 (1)
江西实惠饭店 (1)
神仙居景区游客中心停车场 (1)
神仙居景区小卖部 (1)
仙居神仙居索道客运有限公司 (1)
**土 (1)
沙县小吃官仓路店 (1)
沙县小吃 (1)
PAIN CHAUD百丘 (1)
炬为**店 (1)
fi**3 (1)
喜士多(新肇嘉浜店) (1)
个体户王如良 (1)
留夫鸭(宁波阪急百货店) (1)
上海布歌企业管理有限公司 (1)
玉膳坊餐饮服务店 (1)
云南玉源坊文化发展有限公司 (1)
丽江新才吃不腻小吃馆 (1)
景区投资管理有限公司 (1)
优鲜美佳 (1)
古城区大杂烩小吃店 (1)
? (1)
白沙7seacafe (1)
大理市湘壹饭店 (1)
**开 (1)
大理市沁福园经营部 (1)
娟娟 (1)
大理市喜洲旅游服务有限公司 (1)
中国石化销售股份有限公司云南大理石油分公司 (1)
大理星耀汽车销售服务有限责任公司 (1)
昆明地铁运营有限公司 (1)
龙门索道照相处 (1)
龙山药店合生店 (1)
宁波海曙佳欣服装店 (1)
宁波城市广场开发经营有限公司 (1)
苏宁**店 (1)
pe**店 (1)
Tolecen的店 (1)
宁波伟龙国际贸易有限公司 (1)
宁波镇海双雁餐饮店 (1)
宁波都市达人FEEL一店 (1)
tb**8 (1)
we**e (1)
个体户包荣亮 (1)
临海市揽秀楼美食坊 (1)
四川烧烤 (1)
象山朝辉餐饮店 (1)
浦江**司 (1)
黛圣**店 (1)
晓花城开元店 (1)
宁波市镇海德仁一訫堂大药房有限公司合生分公司 (1)
深圳**厂 (1)
同零**0 (1)
鸡蛋灌饼 (1)
忆金冠 (1)
小胖子江湖菜 (1)
宁波格乐丽雅文化产业有限公司 (1)
火户良人·炉食烤肉 (1)
爱心烟酒店 (1)
朱光玉火锅馆（天一广场店） (1)
TOPYOUNG婚纱燕 (1)
靓菜鲜 (1)
吉祥馄饨(宁波镇海开元广场店) (1)
郑爱莉 (1)
美宜佳便利店（宁波栎社机场店） (1)
星巴克(宁波栎社机场T1出发店) (1)
银泰百货(天一广场) (1)
海底捞火锅（镇海吾悦广场店） (1)
互联互通停车场 (1)
糕酥记 (1)
中国电信股份有限公司浙江分公司 (1)
陈解迪 (1)
八合田·现切烤肉自助·二厂 (1)
宁定城汽修美容装潢 (1)
宁波市镇海区庄市添财烘焙店 (1)
